"","kraj","obmocje","populacija","lon","lat"
"1","Ajdovscina","AJDOVSCINA",6665,13.909914,45.8869025
"2","Batuje","AJDOVSCINA",347,13.7771631,45.8946528
"3","Bela","AJDOVSCINA",36,14.0333495,45.8626539
"4","Brje","AJDOVSCINA",390,13.815474,45.8684724
"5","Budanje","AJDOVSCINA",819,13.9528597,45.8725387
"6","Cesta","AJDOVSCINA",537,13.8639052,45.8882011
"7","Col","AJDOVSCINA",500,14.0010502,45.8811787
"8","Crnice","AJDOVSCINA",416,13.777309,45.9082968
"9","Dobravlje","AJDOVSCINA",448,13.8414774,45.8848322
"10","Dolenje","AJDOVSCINA",101,13.9045425,45.8645869
"11","Dolga Poljana","AJDOVSCINA",365,13.9355348,45.8765487
"12","Gaberje","AJDOVSCINA",175,13.8857677,45.8390463
"13","Gojace","AJDOVSCINA",194,13.7971334,45.9010229
"14","Gozd","AJDOVSCINA",126,13.96317,45.8999778
"15","Grivce","AJDOVSCINA",79,13.9128745,45.8938751
"16","Kamnje","AJDOVSCINA",200,13.8311281,45.8993467
"17","Kovk","AJDOVSCINA",132,13.9309271,45.9142322
"18","Kozmani","AJDOVSCINA",109,13.9222094,45.8772561
"19","Krizna Gora","AJDOVSCINA",8,13.9921821,45.9152728
"20","Lokavec","AJDOVSCINA",1128,13.8803513,45.9015821
"21","Male Zablje","AJDOVSCINA",315,13.8549068,45.8746583
"22","Malo Polje","AJDOVSCINA",74,14.023867,45.8998647
"23","Malovse","AJDOVSCINA",129,13.7913939,45.9030637
"24","Otlica","AJDOVSCINA",289,13.9102618,45.9276691
"25","Place","AJDOVSCINA",235,13.909914,45.8869025
"26","Planina","AJDOVSCINA",466,13.9068675,45.8565204
"27","Podkraj","AJDOVSCINA",426,14.0584323,45.8658702
"28","Potoce","AJDOVSCINA",222,13.8213273,45.8884557
"29","Predmeja","AJDOVSCINA",376,13.8877013,45.944481
"30","Ravne","AJDOVSCINA",137,13.7851229,45.9159142
"31","Selo","AJDOVSCINA",480,13.7882123,45.8895779
"32","Skrilje","AJDOVSCINA",312,13.8489619,45.8922502
"33","Stomaz","AJDOVSCINA",289,13.8570679,45.9001902
"34","Smarje","AJDOVSCINA",195,13.8498873,45.8487353
"35","Tevce","AJDOVSCINA",94,13.8839352,45.8633067
"36","Ustje","AJDOVSCINA",364,13.8949887,45.8702502
"37","Velike Zablje","AJDOVSCINA",326,13.8505423,45.8670859
"38","Vipavski Kriz","AJDOVSCINA",178,13.8636019,45.8812889
"39","Visnje","AJDOVSCINA",182,14.0228792,45.8720043
"40","Vodice","AJDOVSCINA",65,14.0783943,45.8821912
"41","Vrtovce","AJDOVSCINA",111,13.8595605,45.8554881
"42","Vrtovin","AJDOVSCINA",474,13.8126167,45.8989156
"43","Zavino","AJDOVSCINA",83,13.8345334,45.8534072
"44","Zagolic","AJDOVSCINA",134,13.9930856,45.8890783
"45","Zapuze","AJDOVSCINA",316,13.9188986,45.8805217
"46","Beltinci","BELTINCI",2378,16.2365127,46.6079153
"47","Bratonci","BELTINCI",707,16.2150531,46.6163562
"48","Doklezovje","BELTINCI",912,16.1745448,46.6013171
"49","Gancani","BELTINCI",991,16.2457353,46.629851
"50","Izakovci","BELTINCI",796,16.217246,46.5860347
"51","Lipa","BELTINCI",593,16.2851343,46.6046618
"52","Lipovci","BELTINCI",1085,16.2255155,46.6261379
"53","Melinci","BELTINCI",799,16.2343341,46.5710728
"54","Bled","BLED",5052,14.1145798,46.3683266
"55","Bodesce","BLED",179,14.1359126,46.3488247
"56","Bohinjska Bela","BLED",537,14.059505,46.3406296
"57","Koritno","BLED",230,14.1333714,46.3612035
"58","Kupljenik","BLED",52,14.0811359,46.337816
"59","Obrne","BLED",69,14.0576918,46.3277599
"60","Ribno","BLED",630,14.1232855,46.3501392
"61","Selo pri Bledu","BLED",214,14.1090842,46.3520862
"62","Slamniki","BLED",17,14.0428046,46.3468362
"63","Zasip","BLED",1055,14.1071599,46.388909
"64","Bitnje","BOHINJ",74,13.9602971,46.2840563
"65","Bohinjska Bistrica","BOHINJ",1743,13.9564098,46.2715884
"66","Bohinjska Cesnjica","BOHINJ",335,13.9455421,46.295449
"67","Brod","BOHINJ",96,13.9270231,46.2761601
"68","Goreljek","BOHINJ",12,13.9741196,46.3323343
"69","Gorjuse","BOHINJ",144,14.011607,46.3163055
"70","Jereka","BOHINJ",181,13.9615218,46.2965894
"71","Kamnje","BOHINJ",197,13.9163609,46.2717093
"72","Koprivnik v Bohinju","BOHINJ",230,13.984752,46.3090238
"73","Laski Rovt","BOHINJ",40,13.9027346,46.268157
"74","Lepence","BOHINJ",32,13.9708202,46.2808859
"75","Nemski Rovt","BOHINJ",111,13.9787442,46.2713028
"76","Nomenj","BOHINJ",160,14.0062683,46.2924157
"77","Podjelje","BOHINJ",77,13.9599631,46.3132008
"78","Polje","BOHINJ",171,13.910154,46.2679088
"79","Ravne v Bohinju","BOHINJ",43,13.9653971,46.2600558
"80","Ribcev Laz","BOHINJ",164,13.8910449,46.2748814
"81","Savica","BOHINJ",62,13.9241771,46.2744756
"82","Srednja vas v Bohinju","BOHINJ",507,13.9260094,46.2970919
"83","Stara Fuzina","BOHINJ",571,13.894894,46.288666
"84","Studor v Bohinju","BOHINJ",124,13.9149573,46.2947866
"85","Ukanc","BOHINJ",41,13.8293798,46.2798052
"86","Zlan","BOHINJ",11,13.917955,46.2638115
"87","Log v Bohinju","BOHINJ",13,13.9796676,46.2857618
"88","Borovnica","BOROVNICA",2432,14.3640682,45.9193034
"89","Breg pri Borovnici","BOROVNICA",359,14.36399,45.9373068
"90","Brezovica pri Borovnici","BOROVNICA",239,14.3942423,45.8978094
"91","Dol pri Borovnici","BOROVNICA",502,14.3530335,45.928649
"92","Drazica","BOROVNICA",94,14.3767861,45.909496
"93","Lasce","BOROVNICA",1,14.3688832,45.898254
"94","Laze pri Borovnici","BOROVNICA",259,14.3530628,45.9236481
"95","Nizevec","BOROVNICA",36,14.3909326,45.9063923
"96","Ohonica","BOROVNICA",80,14.3759013,45.902342
"97","Pako","BOROVNICA",149,14.3693534,45.940537
"98","Pristava","BOROVNICA",17,14.3705091,45.8930095
"99","Zabocevo","BOROVNICA",107,14.40011,45.9075633
"100","Bavsica","BOVEC",8,13.629831,46.3698391
"101","Bovec","BOVEC",1583,13.5516829,46.3376387
"102","Cezsoca","BOVEC",322,13.5420478,46.3190008
"103","Kal - Koritnica","BOVEC",152,13.5783897,46.3366601
"104","Lepena","BOVEC",37,13.6462812,46.3076256
"105","Log Cezsoski","BOVEC",64,13.4897485,46.3109059
"106","Log pod Mangartom","BOVEC",138,13.599372,46.4033583
"107","Pluzna","BOVEC",50,13.5194364,46.3360908
"108","Soca","BOVEC",138,13.5516829,46.3376387
"109","Srpenica","BOVEC",178,13.4994,46.291327
"110","Strmec na Predelu","BOVEC",19,13.6095414,46.4157664
"111","Trenta","BOVEC",119,13.753651,46.3814874
"112","Zaga","BOVEC",316,13.480427,46.3081847
"113","Barbana","BRDA",57,13.4960497,45.9925832
"114","Belo","BRDA",8,13.5295664,46.0321183
"115","Biljana","BRDA",157,13.5347798,45.9974162
"116","Brdice pri Kozbani","BRDA",18,13.5357748,46.0480751
"117","Brdice pri Neblem","BRDA",54,13.5079235,46.006116
"118","Breg pri Golem Brdu","BRDA",28,13.4978103,46.0492717
"119","Brestje","BRDA",41,13.584617,46.007286
"120","Brezovk","BRDA",7,13.5415107,46.0467356
"121","Ceglo","BRDA",110,13.5186854,45.9765902
"122","Dobrovo","BRDA",327,13.5270951,45.9974545
"123","Dolnje Cerovo","BRDA",139,13.5528436,45.9775385
"124","Drnovk","BRDA",138,13.5238731,46.0023877
"125","Fojana","BRDA",149,13.5062947,45.9978827
"126","Golo Brdo","BRDA",24,13.4976912,46.0547291
"127","Gonjace","BRDA",164,13.5655112,46.012182
"128","Gornje Cerovo","BRDA",322,13.5659848,45.9830767
"129","Gradno","BRDA",43,13.5247379,46.0212573
"130","Hlevnik","BRDA",39,13.5114735,46.0269252
"131","Hrusevlje","BRDA",121,13.5044592,46.0157885
"132","Hum","BRDA",309,13.5806704,45.9920893
"133","Imenje","BRDA",126,13.5507359,46.0092594
"134","Kojsko","BRDA",258,13.5753158,46.0055805
"135","Kozana","BRDA",374,13.5496468,45.9920525
"136","Kozarno","BRDA",46,13.521714,46.0097193
"137","Kozbana","BRDA",37,13.5306633,46.0434832
"138","Krasno","BRDA",100,13.5544177,46.0237742
"139","Medana","BRDA",231,13.5213369,45.9848137
"140","Neblo","BRDA",203,13.5022129,46.0056868
"141","Nozno","BRDA",27,13.5433919,46.0375286
"142","Plesivo","BRDA",233,13.5012534,45.9819861
"143","Podsabotin","BRDA",293,13.6088119,45.9885175
